"Year","MeanSumm","GDD5Summ","MeanAnnual","GDD5Annual","Days0_4C","MeanWint","WinterGDD5"
1960,17.4141304347826,3204.2,9.40054644808743,4388.6,126,0.951111111111111,0
1961,17.8782608695652,3289.6,10.0120547945205,4500,102,0.895555555555556,11.6
1962,17.2239130434783,3169.2,9.33671232876712,4262.4,92,0.695555555555556,20.4
1963,17.4836956521739,3217,9.87342465753425,4608,62,0.845054945054945,10.2
1964,18.2684782608696,3361.4,9.66311475409836,4399.4,252,1.75222222222222,0
1965,17.0021739130435,3128.4,9.4572602739726,4077.6,256,2.01111111111111,0
1966,17.0228260869565,3132.2,9.8158904109589,4226.4,120,0.966666666666667,1.2
1967,16.9760869565217,3123.6,9.10657534246575,3979.4,234,1.32857142857143,0
1968,17.2184782608696,3168.2,9.75601092896175,4390.6,218,1.26777777777778,3.6
1969,18.0478260869565,3320.8,9.98356164383562,4536,164,1.00222222222222,1.2
1970,17.7413043478261,3264.4,9.34767123287671,4173.4,160,1.08888888888889,9
1971,16.9478260869565,3118.4,9.55835616438356,4281.6,108,1.43516483516484,0
1972,15.4217391304348,2837.6,8.12295081967213,3390.2,190,0.906666666666667,0
1973,18.6532608695652,3432.2,10.4167123287671,4644.6,180,2.28,47
1974,16.1271739130435,2967.4,9.62547945205479,4026.2,210,1.86222222222222,0
1975,16.970652173913,3122.6,9.88986301369863,4319.6,224,2.43956043956044,21.4
1976,18.8880434782609,3475.4,10.6551912568306,4781,190,1.27777777777778,0
1977,17.0760869565217,3142,9.59041095890411,4108,212,1.57666666666667,0
1978,15.1836956521739,2793.8,9.1454794520548,3869.8,248,1.95555555555556,8.2
1979,17.0326086956522,3134,10.026301369863,4280.2,184,3.49120879120879,38.2
1980,15.6195652173913,2874,8.86502732240437,3488.4,242,1.46111111111111,1.2
1981,15.9423913043478,2933.4,9.35479452054794,3900.2,212,1.7,11.4
1982,17.3423913043478,3191,9.89506849315068,4336.8,200,3.34555555555556,58
1983,16.9358695652174,3116.2,9.75780821917808,4003.4,200,1.78021978021978,0
1984,16.5,3036,8.93032786885246,3723.8,222,1.40555555555556,0
1985,15.7934782608696,2906,10.0682191780822,4404.8,194,2.81888888888889,25
1986,17.2163043478261,3167.8,10.4575342465753,4526.4,198,2.51333333333333,6.8
1987,20.175,3712.2,11.3342465753425,5180,112,1.58901098901099,31
1988,18.470652173913,3398.6,9.50054644808743,4219.6,164,1.28888888888889,2.4
1989,18.0423913043478,3319.8,9.37972602739726,4170,170,1.02777777777778,0
1990,17.7521739130435,3266.4,10.4084931506849,4583.8,148,2.15111111111111,34
1991,20.0108695652174,3682,10.6991780821918,4894,160,1.83846153846154,5.8
1992,15.7978260869565,2906.8,9.11256830601093,3806.8,190,1.24716049382716,1.2
1993,18.5024154589372,3404.44444444445,9.89802130898021,4440,200,1.96296296296296,24.4444444444445
1994,18.7248389694042,3445.37037037037,10.5621511922882,4788.88888888889,194,2.51028806584362,23.3333333333334
1995,19.7574476650564,3635.37037037037,10.5669710806697,4780.55555555556,202,1.83150183150183,5.92592592592596
1996,16.0527375201288,2953.7037037037,9.12846589759158,3900.92592592593,148,1.03909465020576,4.44444444444446
1997,17.4335748792271,3207.77777777778,9.66565195332319,4275.92592592593,210,1.94855967078189,7.77777777777778
1998,19.9174718196457,3664.81481481481,11.1319431760528,5085.57777777778,126,2.05349794238683,101.851851851852
1999,19.4766505636071,3583.7037037037,10.3759512937595,4788.14814814815,106,1.3003663003663,40.0000000000001
2000,17.2463768115942,3173.33333333333,9.04169196518923,3948.14814814815,62,-0.551440329218107,0
2001,16.688808373591,3070.74074074074,9.48959918822933,4250.37037037037,176,3.35185185185185,130.37037037037
2002,17.8985507246377,3293.33333333333,10.0251141552511,4425.83333333333,146,0.50951646090535,0
2003,17.3590982286634,3194.07407407407,8.64459665144597,3859.07407407407,122,0.553520553520553,1.11111111111112
2004,18.1795994363929,3345.0462962963,9.7434729811779,4341.48148148148,88,1.02057613168724,11.1111111111111
2005,16.1413043478261,2970,9.18721461187215,4021.11111111111,168,1.40740740740741,0
2006,18.1038647342995,3331.11111111111,10.2754946727549,4446.66666666667,100,2.62962962962963,25.5555555555556
2007,15.9722222222222,2938.88888888889,9.25570776255708,3932.22222222222,138,0.958485958485959,0
2008,19.6618357487923,3617.77777777778,9.83606557377049,4597.77777777778,118,0.450617283950617,0
2009,16.9806763285024,3124.44444444444,9.30745814307458,3947.77777777778,102,1.46913580246914,6.66666666666668
2010,21.286231884058,3916.66666666667,11.1293759512938,5350,100,0.790123456790124,1.11111111111112
2011,19.8429951690821,3651.11111111111,10.7838660578387,4977.77777777778,168,2.57631257631258,44.4444444444445
2012,18.8707729468599,3472.22222222222,11.2583485124469,5114.44444444444,78,3.05555555555556,132.222222222222
2013,17.4094202898551,3203.33333333333,10.1415525114155,4653.33333333333,220,1.58641975308642,18.8888888888889
2014,18.2548309178744,3358.88888888889,10.1400304414003,4596.66666666667,180,1.93827160493827,2.22222222222224
2015,16.237922705314,2987.77777777778,9.51598173515982,4056.66666666667,170,3.57753357753358,150
2016,16.6062801932367,3055.55555555556,10.3627808136005,4478.88888888889,174,2.62345679012346,51.1111111111111
2017,18.5024154589372,3404.44444444444,10.4809741248097,4546.66666666667,198,2.05555555555555,42.2222222222222
2018,18.0736714975845,3325.55555555556,9.67275494672755,4101.11111111111,116,3.81720430107527,1.11111111111112
NA,NA,0,NA,NA,NA,NA,0
